company,company_website,industry,job_title,pub_date,job_url,source
WISS Samochody Specjalne,,,Główny Księgowy / Główna Księgowa,2025-09-21,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-bielsko-biala,oferta,1004355068",pracuj.pl
DOMINION Polska Sp. z o.o.,,,Główny księgowy / Główna księgowa,2025-09-21,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-gliwice,oferta,1004318654",pracuj.pl
HORSTMANN Technika Sp. z o.o.,,,Główny księgowy / Główna księgowa,2025-09-21,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-wagrowiec-kcynska-100,oferta,1004335047",pracuj.pl
INTERFIBER Sp. z o.o.,,,Główna Księgowa / Główny Księgowy,2025-09-21,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-lipka-pow-wolominski,oferta,1004334805",pracuj.pl
"SPÓŁDZIELNIA MIESZKANIOWA Lokatorsko - Własnościowa ""ODRA"" w Świnoujściu",,,Wiceprezes ds. finansowych - Główny księgowy / Główna księgowa,2025-09-21,"https://www.pracuj.pl/praca/wiceprezes-ds-finansowych-glowny-ksiegowy-glowna-ksiegowa-swinoujscie-bohaterow-wrzesnia-75b,oferta,1004334300",pracuj.pl
GP TRUCK TRADING S.C. GRZEGORZ KĄDZIELA AGNIESZKA KĄDZIELA,,,Główny księgowy / Główna księgowa,2025-09-21,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-sokolow-pow-pruszkowski-sokolowska-61-b,oferta,1004333891",pracuj.pl
Drobex-Agro Sp. z o.o.,,,Główny Księgowy / Główna Księgowa,2025-09-21,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-makowiska-pow-bydgoski-12,oferta,1004353411",pracuj.pl
LHH Recruitment Solutions,,,Główny Księgowy / Główna Księgowa,2025-09-21,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-gdansk,oferta,1004330890",pracuj.pl
DOMINO DACH sp. z o.o.,,,Główny księgowy / Główna księgowa,2025-09-21,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-stojadla-pow-minski-warszawska-3,oferta,1004343822",pracuj.pl
Grafton Recruitment,,,RTR Chief Accountant,2025-09-21,"https://www.pracuj.pl/praca/rtr-chief-accountant-poznan,oferta,1004309768",pracuj.pl
